n,cutoff_gain
1,2.0
2,1.4142135623730951
3,1.2599210498948732
4,1.189207115002721
5,1.148698354997035
6,1.122462048309373
7,1.1040895136738123
8,1.0905077326652577
9,1.080059738892306
10,1.0717734625362931
11,1.0650410894399627
12,1.0594630943592953
13,1.0547660764816467
14,1.0507566386532194
15,1.0472941228206267
16,1.0442737824274138
17,1.0416160106505838
18,1.0392592260318434
19,1.0371550444461919
20,1.0352649238413776
21,1.0335577830070277
22,1.0320082797342096
23,1.0305955447520094
24,1.029302236643492
25,1.0281138266560665
26,1.0270180507087725
27,1.0260044847070386
28,1.0250642119658746
29,1.0241895602489972
30,1.023373891996775
